Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population,,
1-Sep,157593.4797,,,,,,,,
2-Sep,159175.0522,,,,,,,,
3-Sep,160756.6246,,,,,,,,
4-Sep,162338.197,,,,,,,,
5-Sep,163919.7695,,,,,,,,
6-Sep,165501.3419,,,,,,,,
7-Sep,167082.9143,,,,,,,,
8-Sep,168664.4868,,,,,,,,
9-Sep,170246.0592,,,,,,,,
10-Sep,171827.6316,,,,,,,,
11-Sep,173409.2041,,,,,,,,
12-Sep,174990.7765,,,,,,,,
13-Sep,176572.3489,,,,,,,,
14-Sep,178153.9214,,,,,,,,
15-Sep,179735.4938,,,,,,,,
16-Sep,181317.0662,,,,,,,,
17-Sep,182898.6387,,,,,,,,
18-Sep,184480.2111,,,,,,,,
19-Sep,186061.7835,,,,,,,,
20-Sep,187643.356,,,,,,,,
21-Sep,189224.9284,,,,,,,,
22-Sep,190806.5008,,,,,,,,
23-Sep,192388.0733,,,,,,,,
24-Sep,193969.6457,,,,,,,,
25-Sep,195551.2181,,,,,,,,
26-Sep,197132.7906,,,,,,,,
27-Sep,198714.363,,,,,,,,
28-Sep,200295.9354,,,,,,,,
29-Sep,201877.5079,,,,,,,,
30-Sep,203459.0803,,,,,,,,
1-Oct,205040.6527,,,,,,,,
2-Oct,206622.2252,,,,,,,,
3-Oct,208203.7976,,,,,,,,
4-Oct,209785.37,,,,,,,,
5-Oct,211366.9425,,,,,,,,
6-Oct,212948.5149,,,,,,,,
7-Oct,214530.0873,,,,,,,,
8-Oct,216111.6598,,,,,,,,
9-Oct,217693.2322,,,,,,,,
10-Oct,219274.8046,,,,,,,,
11-Oct,220856.3771,,,,,,,,
12-Oct,222437.9495,,,,,,,,
13-Oct,224019.5219,,,,,,,,
14-Oct,225601.0944,,,,,,,,
15-Oct,227182.6668,,,,,,,,
16-Oct,228764.2392,,,,,,,,
17-Oct,230345.8117,,,,,,,,
18-Oct,231927.3841,,,,,,,,
19-Oct,233508.9565,,,,,,,,
20-Oct,235090.529,,,,,,,,
21-Oct,236672.1014,,,,,,,,
22-Oct,238253.6738,,,,,,,,
23-Oct,239835.2463,,,,,,,,
24-Oct,241416.8187,,,,,,,,
25-Oct,242998.3911,,,,,,,,
26-Oct,244579.9636,,,,,,,,
27-Oct,246161.536,,,,,,,,
28-Oct,247743.1084,,,,,,,,
29-Oct,249324.6809,,,,,,,,
30-Oct,250906.2533,,,,,,,,
31-Oct,252487.8257,,,,,,,,
1-Nov,254069.3981,,,,,,,,
2-Nov,255650.9706,,,,,,,,
3-Nov,257232.543,,,,,,,,
4-Nov,258814.1154,,,,,,,,
5-Nov,260395.6879,,,,,,,,
6-Nov,261977.2603,,,,,,,,
7-Nov,263558.8327,,,,,,,,
8-Nov,265140.4052,,,,,,,,
9-Nov,266721.9776,,,,,,,,
10-Nov,268303.55,,,,,,,,
11-Nov,269885.1225,,,,,,,,
12-Nov,271466.6949,,,,,,,,
13-Nov,273048.2673,,,,,,,,
14-Nov,274629.8398,,,,,,,,
15-Nov,276211.4122,,,,,,,,
16-Nov,277792.9846,,,,,,,,
17-Nov,279374.5571,,,,,,,,
18-Nov,280956.1295,,,,,,,,
19-Nov,282537.7019,,,,,,,,
20-Nov,284119.2744,,,,,,,,
21-Nov,285700.8468,,,,,,,,
22-Nov,287282.4192,,,,,,,,
23-Nov,288863.9917,,,,,,,,
24-Nov,290445.5641,,,,,,,,
25-Nov,292027.1365,,,,,,,,
26-Nov,293608.709,,,,,,,,
27-Nov,295190.2814,,,,,,,,
28-Nov,296771.8538,,,,,,,,
29-Nov,298353.4263,,,,,,,,
30-Nov,299934.9987,,,,,,,,
1-Dec,301516.5711,,,,,,,,
2-Dec,303098.1436,,,,,,,,
3-Dec,304679.716,,,,,,,,
4-Dec,306261.2884,,,,,,,,
5-Dec,307842.8609,,,,,,,,
6-Dec,309424.4333,,,,,,,,
7-Dec,311006.0057,,,,,,,,
8-Dec,312587.5782,,,,,,,,
9-Dec,314169.1506,,,,,,,,
10-Dec,315750.723,,,,,,,,
11-Dec,317332.2955,,,,,,,,
12-Dec,318913.8679,,,,,,,,
13-Dec,320495.4403,,,,,,,,
14-Dec,322077.0128,,,,,,,,
15-Dec,323658.5852,,,,,,,,
16-Dec,325240.1576,,,,,,,,
17-Dec,326821.7301,,,,,,,,
18-Dec,328403.3025,,,,,,,,
19-Dec,329984.8749,,,,,,,,
20-Dec,331566.4474,,,,,,,,
21-Dec,333148.0198,,,,,,,,
22-Dec,334729.5922,,,,,,,,
23-Dec,336311.1647,,,,,,,,
24-Dec,337892.7371,,,,,,,,
25-Dec,339474.3095,,,,,,,,
26-Dec,341055.882,,,,,,,,
27-Dec,342637.4544,,,,,,,,
28-Dec,344219.0268,,,,,,,,
29-Dec,345800.5993,,,,,,,,
30-Dec,347382.1717,,,,,,,,
31-Dec,348963.7441,,,,,,,,
