Date,Confirmed,Recovered,Deceased,Tested,DeltaConfirmed,DeltaRecovered,Population
2020-05-28,293,151,10,0,9,0,0
2020-05-29,305,151,10,0,12,0,0
2020-05-30,338,172,10,0,33,21,0
2020-05-31,359,231,10,0,21,59,0
2020-06-01,383,243,11,0,24,12,0
2020-06-02,395,243,11,0,12,0,0
2020-06-03,415,262,11,0,20,19,0
2020-06-04,424,262,13,0,9,0,0
2020-06-05,434,271,13,0,10,9,0
2020-06-06,452,276,13,0,18,5,0
2020-06-07,475,298,15,0,23,22,0
2020-06-08,493,298,18,0,18,0,0
2020-06-09,522,298,19,0,29,0,0
2020-06-10,564,298,21,0,42,0,0
2020-06-11,581,299,23,0,17,1,0
2020-06-12,617,299,27,0,36,0,0
2020-06-13,648,299,29,0,31,0,0
2020-06-14,690,327,32,0,42,28,0
2020-06-15,725,329,33,0,35,2,0
2020-06-16,772,361,38,0,47,32,0
2020-06-17,827,370,43,0,55,9,0
2020-06-18,844,384,51,0,17,14,0
2020-06-19,982,392,58,0,138,8,0
2020-06-20,1076,394,61,0,94,2,0
2020-06-21,1272,411,64,0,196,17,0
2020-06-22,1398,411,67,0,126,0,0
2020-06-23,1505,435,73,0,107,24,0
2020-06-24,1678,476,78,0,173,41,0
2020-06-25,1791,506,78,0,113,30,0
2020-06-26,1935,527,81,0,144,21,0
2020-06-27,2531,534,84,92309,596,7,0
2020-06-28,3314,534,88,102666,783,0,0
2020-06-29,4052,534,91,110576,738,0,0
2020-06-30,4555,544,95,110576,503,10,0
2020-07-01,5290,544,97,111510,735,0,0
2020-07-02,6179,574,100,115880,889,30,0
2020-07-03,7173,771,105,120557,994,197,0
2020-07-04,8345,966,129,120557,1172,195,0
2020-07-05,9580,1268,145,124431,1235,302,9588910
2020-07-06,10561,1546,155,129256,981,278,9588910
2020-07-07,11361,1811,155,133418,800,265,9588910
2020-07-08,12509,2229,177,153123,1148,418,9588910
2020-07-09,13882,2835,177,156592,1373,606,9588910
2020-07-10,15329,3436,206,156592,1447,601,9588910
2020-07-11,16862,3840,229,156592,1533,404,9588910
2020-07-12,18387,4046,274,175679,1525,206,9588910
2020-07-13,19702,4329,321,179679,1315,283,9588910
2020-07-14,20969,4993,377,181045,1267,664,9588910
2020-07-15,22942,5456,437,185441,1973,463,9588910
2020-07-16,25286,5953,507,185441,2344,497,9588910
